[flows=93467, src_bytes=30056514, dst_bytes=38883792, src_pkt=543615, dst_pkt=491711, tcp=93389, udp=70, icmp=8, other=0]
[flows=94581, src_bytes=30147847, dst_bytes=38729717, src_pkt=545537, dst_pkt=491882, tcp=94505, udp=68, icmp=8, other=0]
[flows=96215, src_bytes=30588969, dst_bytes=37880490, src_pkt=555047, dst_pkt=495972, tcp=96136, udp=72, icmp=7, other=0]
[flows=94484, src_bytes=41424000, dst_bytes=26824674, src_pkt=587254, dst_pkt=471125, tcp=94399, udp=76, icmp=9, other=0]
[flows=98667, src_bytes=42398541, dst_bytes=26440071, src_pkt=576269, dst_pkt=462445, tcp=98590, udp=69, icmp=8, other=0]
[flows=95931, src_bytes=42122488, dst_bytes=26505009, src_pkt=581465, dst_pkt=464287, tcp=95853, udp=71, icmp=7, other=0]
[flows=95548, src_bytes=42960247, dst_bytes=26178501, src_pkt=571818, dst_pkt=456895, tcp=95471, udp=69, icmp=8, other=0]
[flows=102863, src_bytes=30433453, dst_bytes=38106096, src_pkt=552296, dst_pkt=496387, tcp=102780, udp=75, icmp=8, other=0]
[flows=105047, src_bytes=41523095, dst_bytes=26769703, src_pkt=586955, dst_pkt=469952, tcp=104967, udp=72, icmp=8, other=0]
[flows=93949, src_bytes=40154592, dst_bytes=25305926, src_pkt=554259, dst_pkt=443265, tcp=93870, udp=72, icmp=7, other=0]
[flows=97480, src_bytes=42419279, dst_bytes=26422705, src_pkt=576434, dst_pkt=462166, tcp=97402, udp=70, icmp=8, other=0]
[flows=99855, src_bytes=42358941, dst_bytes=26430705, src_pkt=577900, dst_pkt=462453, tcp=99779, udp=68, icmp=8, other=0]
[flows=99315, src_bytes=30578100, dst_bytes=37848257, src_pkt=555098, dst_pkt=497359, tcp=99234, udp=73, icmp=8, other=0]
[flows=95722, src_bytes=42257943, dst_bytes=26443170, src_pkt=580384, dst_pkt=462915, tcp=95643, udp=71, icmp=8, other=0]
[flows=101725, src_bytes=30202407, dst_bytes=38542498, src_pkt=547310, dst_pkt=494527, tcp=101646, udp=72, icmp=7, other=0]
[flows=101853, src_bytes=41943075, dst_bytes=26604019, src_pkt=582180, dst_pkt=466251, tcp=101773, udp=72, icmp=8, other=0]
[flows=96846, src_bytes=42574674, dst_bytes=26324191, src_pkt=576484, dst_pkt=460221, tcp=96769, udp=69, icmp=8, other=0]
[flows=94461, src_bytes=42927783, dst_bytes=26188819, src_pkt=572288, dst_pkt=457163, tcp=94382, udp=72, icmp=7, other=0]
[flows=132, src_bytes=1782950, dst_bytes=365057, src_pkt=10160, dst_pkt=5204, tcp=52, udp=70, icmp=10, other=0]
[flows=107246, src_bytes=28559573, dst_bytes=23943121, src_pkt=504556, dst_pkt=437535, tcp=107166, udp=70, icmp=10, other=0]
[flows=118516, src_bytes=35231814, dst_bytes=28238307, src_pkt=649472, dst_pkt=504737, tcp=118426, udp=80, icmp=10, other=0]
[flows=65675, src_bytes=16064714, dst_bytes=13747388, src_pkt=283605, dst_pkt=255124, tcp=65595, udp=70, icmp=10, other=0]
[flows=40725, src_bytes=12472687, dst_bytes=10198784, src_pkt=221045, dst_pkt=182502, tcp=40645, udp=70, icmp=10, other=0]
[flows=123322, src_bytes=38952993, dst_bytes=26065444, src_pkt=708513, dst_pkt=457541, tcp=123104, udp=197, icmp=21, other=0]
[flows=122666, src_bytes=38877013, dst_bytes=26142438, src_pkt=706735, dst_pkt=459284, tcp=122425, udp=217, icmp=24, other=0]
[flows=120478, src_bytes=38877673, dst_bytes=26160510, src_pkt=704943, dst_pkt=460451, tcp=120234, udp=220, icmp=24, other=0]
[flows=123116, src_bytes=38866936, dst_bytes=26147460, src_pkt=706939, dst_pkt=459250, tcp=122876, udp=216, icmp=24, other=0]
[flows=121717, src_bytes=38853881, dst_bytes=26172424, src_pkt=705601, dst_pkt=460190, tcp=121471, udp=222, icmp=24, other=0]
[flows=123380, src_bytes=38878108, dst_bytes=26134325, src_pkt=707328, dst_pkt=458926, tcp=123137, udp=219, icmp=24, other=0]
[flows=123335, src_bytes=38911615, dst_bytes=26101357, src_pkt=707933, dst_pkt=458302, tcp=123105, udp=207, icmp=23, other=0]
[flows=16124, src_bytes=5197834, dst_bytes=3491561, src_pkt=94279, dst_pkt=61447, tcp=16090, udp=31, icmp=3, other=0]
[flows=36368, src_bytes=12056461, dst_bytes=8215628, src_pkt=217803, dst_pkt=145148, tcp=36287, udp=71, icmp=10, other=0]
[flows=129815, src_bytes=40195362, dst_bytes=26986768, src_pkt=606066, dst_pkt=481170, tcp=129416, udp=359, icmp=40, other=0]
[flows=121132, src_bytes=41113737, dst_bytes=26721902, src_pkt=596463, dst_pkt=472954, tcp=120831, udp=271, icmp=30, other=0]
[flows=125821, src_bytes=37156926, dst_bytes=28657553, src_pkt=624056, dst_pkt=510694, tcp=125538, udp=256, icmp=27, other=0]
[flows=127241, src_bytes=37744879, dst_bytes=28197371, src_pkt=622457, dst_pkt=506133, tcp=126890, udp=316, icmp=35, other=0]
[flows=119401, src_bytes=38355483, dst_bytes=28118933, src_pkt=614989, dst_pkt=499755, tcp=119127, udp=247, icmp=27, other=0]
[flows=41331, src_bytes=14428587, dst_bytes=9583356, src_pkt=211026, dst_pkt=168705, tcp=41242, udp=80, icmp=9, other=0]
[flows=1850, src_bytes=68425868, dst_bytes=13773452, src_pkt=376758, dst_pkt=194223, tcp=477, udp=1237, icmp=136, other=0]
[flows=353, src_bytes=69138618, dst_bytes=14188470, src_pkt=344121, dst_pkt=199836, tcp=52, udp=271, icmp=30, other=0]
[flows=350, src_bytes=20599903, dst_bytes=4171062, src_pkt=110423, dst_pkt=58768, tcp=26, udp=292, icmp=32, other=0]
[flows=412, src_bytes=19202289, dst_bytes=63946359, src_pkt=216137, dst_pkt=330743, tcp=69, udp=309, icmp=34, other=0]
[flows=408, src_bytes=69098120, dst_bytes=14191759, src_pkt=343019, dst_pkt=199947, tcp=94, udp=283, icmp=31, other=0]
[flows=527, src_bytes=18555524, dst_bytes=64699045, src_pkt=214918, dst_pkt=328669, tcp=182, udp=311, icmp=34, other=0]
[flows=327, src_bytes=15917869, dst_bytes=52078706, src_pkt=177234, dst_pkt=268143, tcp=48, udp=252, icmp=27, other=0]
